Symbol,Margin,Leverage
ELECON,20,5
ELECTCAST,20,5
ELECTHERM,20,5
ELGIEQUIP,20,5
ELIN,20,5
ELLEN,20,5
EMAMILTD,20,5
EMCURE,20,5
EMIL,20,5
EMMVEE,20,5
EMSLIMITED,20,5
EMUDHRA,20,5
ENDURANCE,20,5
ENGINERSIN,20,5
ENRIN,20,5
ENTERO,20,5
EPACK,20,5
EPACKPEB,20,5
EPIGRAL,20,5
EPL,20,5
EQUITASBNK,20,5
ERIS,20,5
ESABINDIA,20,5
ESAFSFB,20,5
ESCORTS,20,5
ESILVER,20,5
ETERNAL,20,5
ETHOSLTD,20,5
EUREKAFORB,20,5
EUROPRATIK,20,5
EVEREADY,20,5
EXCELSOFT,20,5
EXICOM,20,5
EXIDEIND,20,5
EXPLEOSOL,20,5
FABTECH,20,5
FACT,20,5
FAZE3Q,20,5
FCL,20,5
FDC,20,5
FEDDERSHOL,20,5
FEDERALBNK,20,5
FEDFINA,20,5
FIEMIND,20,5
FILATEX,20,5
FINCABLES,20,5
FINEORG,20,5
FINIETF,20,5
FINOPB,20,5
FINPIPE,20,5
FIRSTCRY,20,5
FISCHER,20,5
FIVESTAR,20,5
FLAIR,20,5
FLUOROCHEM,20,5
FMCGIETF,20,5
FMGOETZE,20,5
FORCEMOT,20,5
FORTIS,20,5
FOSECOIND,20,5
FRONTSP,20,5
FSL,20,5
FUSION,20,5
GABRIEL,20,5
GAEL,20,5
GAIL,20,5
GALAPREC,20,5
GALAXYSURF,20,5
GALLANTT,20,5
GANDHAR,20,5
GANECOS,20,5
GANESHCP,20,5
GANESHHOU,20,5
GARFIBRES,20,5
GARUDA,20,5
GATEWAY,20,5
GEMAROMA,20,5
GENCON,20,5
GENESYS,20,5
GENUSPOWER,20,5
GEOJITFSL,20,5
GESHIP,20,5
GHCL,20,5
GHCLTEXTIL,20,5
GICHSGFIN,20,5
GICRE,20,5
GILLETTE,20,5
GIPCL,20,5
GKENERGY,20,5
GLAND,20,5
GLAXO,20,5
GLENMARK,20,5
GLOBUSSPR,20,5
