symbol,direction,entry_time,exit_time,entry_price,exit_price,quantity,pnl_gross,exit_reason
NIFTY 50,SHORT,2025-01-10T09:30:00+05:30,2025-01-10T10:25:00+05:30,23458.6,23436.234291810658875,4,89.4628327573645,SL-HIT
NIFTY 50,SHORT,2025-01-31T09:50:00+05:30,2025-01-31T10:05:00+05:30,23350.6,23402.2,4,-206.4,SL-HIT
NIFTY 50,SHORT,2025-02-01T11:50:00+05:30,2025-02-01T12:05:00+05:30,23396.6,23481.7,4,-340.4,SL-HIT
NIFTY 50,SHORT,2025-02-03T13:15:00+05:30,2025-02-03T15:05:00+05:30,23348.2,23353.35,4,-20.6,EOD-SQUAREOFF
NIFTY 50,LONG,2025-02-10T10:20:00+05:30,2025-02-10T13:20:00+05:30,23380.7,23336.3,4,-177.6,SL-HIT
NIFTY 50,LONG,2025-02-21T13:40:00+05:30,2025-02-21T15:05:00+05:30,22735.6,22791.6,4,224,EOD-SQUAREOFF
NIFTY 50,LONG,2025-06-10T09:30:00+05:30,2025-06-10T15:05:00+05:30,25115.4,25093.75,3,-64.95,EOD-SQUAREOFF
NIFTY 50,LONG,2025-06-12T10:20:00+05:30,2025-06-12T10:45:00+05:30,25098.1,25059.8,3,-114.9,SL-HIT
NIFTY 50,LONG,2025-06-20T10:25:00+05:30,2025-06-20T15:05:00+05:30,25009,25101.9,4,371.6,EOD-SQUAREOFF
NIFTY 50,SHORT,2025-06-23T11:45:00+05:30,2025-06-23T13:25:00+05:30,24954.4,24980.9,4,-106,SL-HIT
NIFTY 50,LONG,2025-06-25T13:10:00+05:30,2025-06-25T14:35:00+05:30,25240.4,25223.1099421501290632,3,-51.8701735496128104,SL-HIT
NIFTY 50,LONG,2025-07-21T09:50:00+05:30,2025-07-21T15:05:00+05:30,25025.2,25081.8,4,226.4,EOD-SQUAREOFF
NIFTY 50,SHORT,2025-07-25T10:15:00+05:30,2025-07-25T11:35:00+05:30,24863.7,24910.8,4,-188.4,SL-HIT
NIFTY 50,SHORT,2025-07-28T10:25:00+05:30,2025-07-28T13:05:00+05:30,24870.9,24710.1,4,643.2,TARGET-HIT
NIFTY 50,LONG,2025-07-30T11:25:00+05:30,2025-07-30T11:40:00+05:30,24898.7,24865.3,4,-133.6,SL-HIT
NIFTY 50,LONG,2025-08-05T10:00:00+05:30,2025-08-05T13:25:00+05:30,24614.5,24599.2545369684228516,4,-60.9818521263085936,SL-HIT
NIFTY 50,LONG,2025-08-12T09:30:00+05:30,2025-08-12T10:30:00+05:30,24633.2,24631.8841315742747694,4,-5.2634737029009224,SL-HIT
NIFTY 50,SHORT,2025-08-13T09:50:00+05:30,2025-08-13T12:35:00+05:30,24583.5,24611.6671688496369892,4,-112.6686753985479568,SL-HIT
NIFTY 50,SHORT,2025-08-14T11:45:00+05:30,2025-08-14T12:00:00+05:30,24607.2,24632,4,-99.2,SL-HIT
NIFTY 50,LONG,2025-08-20T09:30:00+05:30,2025-08-20T14:15:00+05:30,24956.3,25080.2,4,495.6,TARGET-HIT
NIFTY 50,SHORT,2025-08-22T09:30:00+05:30,2025-08-22T15:05:00+05:30,24964.5,24870.05,4,377.8,EOD-SQUAREOFF
NIFTY 50,LONG,2025-08-25T09:35:00+05:30,2025-08-25T10:00:00+05:30,24966.3,24939.3,4,-108,SL-HIT
NIFTY 50,LONG,2025-09-04T14:25:00+05:30,2025-09-04T15:05:00+05:30,24723.2,24734.4,4,44.8,EOD-SQUAREOFF
NIFTY 50,LONG,2025-09-10T09:35:00+05:30,2025-09-10T13:15:00+05:30,24994.5,24963.2722887127436902,4,-124.9108451490252392,SL-HIT
NIFTY 50,LONG,2025-09-11T09:45:00+05:30,2025-09-11T15:05:00+05:30,24982.5,25012.05,4,118.2,EOD-SQUAREOFF
NIFTY 50,SHORT,2025-09-12T11:30:00+05:30,2025-09-12T15:05:00+05:30,25128.2,25111.15,3,51.15,EOD-SQUAREOFF
NIFTY 50,LONG,2025-09-25T12:10:00+05:30,2025-09-25T14:15:00+05:30,24981.5,24957.5362026584547843,4,-95.8551893661808628,SL-HIT
NIFTY 50,SHORT,2025-10-14T09:55:00+05:30,2025-10-14T13:40:00+05:30,25207.6,25137.8551921917677471,3,209.2344234246967587,SL-HIT
NIFTY 50,LONG,2025-11-07T09:35:00+05:30,2025-11-07T15:05:00+05:30,25340,25481.65,3,424.95,EOD-SQUAREOFF
NIFTY 50,LONG,2025-11-20T10:25:00+05:30,2025-11-20T13:55:00+05:30,26113.8,26220.1,3,318.9,TARGET-HIT
NIFTY 50,SHORT,2025-11-21T10:05:00+05:30,2025-11-21T12:15:00+05:30,26086.5,26120.2,3,-101.1,SL-HIT
NIFTY 50,LONG,2025-12-10T11:55:00+05:30,2025-12-10T12:35:00+05:30,25835,25808.6,3,-79.2,SL-HIT
NIFTY 50,SHORT,2025-12-11T12:10:00+05:30,2025-12-11T12:30:00+05:30,25876.6,25908.2,3,-94.8,SL-HIT
NIFTY 50,LONG,2025-12-17T09:30:00+05:30,2025-12-17T09:45:00+05:30,25922,25883.5,3,-115.5,SL-HIT
NIFTY 50,SHORT,2025-12-18T10:25:00+05:30,2025-12-18T11:55:00+05:30,25829.8,25865.4,3,-106.8,SL-HIT
NIFTY 50,SHORT,2025-12-23T10:10:00+05:30,2025-12-23T14:20:00+05:30,26184.7,26209.5130507438883332,3,-74.4391522316649996,SL-HIT
NIFTY 50,SHORT,2025-12-24T11:40:00+05:30,2025-12-24T12:35:00+05:30,26185.5,26205.7,3,-60.6,SL-HIT
NIFTY 50,SHORT,2025-12-26T11:45:00+05:30,2025-12-26T15:05:00+05:30,26051.5,26040.8480742234356395,3,31.9557773296930815,SL-HIT
NIFTY 50,LONG,2025-12-29T09:30:00+05:30,2025-12-29T10:00:00+05:30,26074.4,26045.7,3,-86.1,SL-HIT
NIFTY 50,LONG,2025-12-30T12:15:00+05:30,2025-12-30T14:30:00+05:30,25891,25918.6041308412277032,3,82.8123925236831096,SL-HIT
NIFTY 50,LONG,2025-12-31T11:40:00+05:30,2025-12-31T13:00:00+05:30,26068.6,26149.6,3,243,TARGET-HIT
NIFTY 50,LONG,2026-01-02T09:40:00+05:30,2026-01-02T15:05:00+05:30,26248.1,26313.1,3,195,EOD-SQUAREOFF
NIFTY 50,LONG,2026-01-08T10:10:00+05:30,2026-01-08T10:25:00+05:30,26061.2,26028,3,-99.6,SL-HIT
NIFTY 50,SHORT,2026-01-09T12:25:00+05:30,2026-01-09T13:40:00+05:30,25716.8,25724.2572714597545136,3,-22.3718143792635408,SL-HIT
NIFTY 50,SHORT,2026-01-14T09:45:00+05:30,2026-01-14T09:55:00+05:30,25689.5,25740.3,3,-152.4,SL-HIT
NIFTY 50,SHORT,2026-01-16T10:30:00+05:30,2026-01-16T13:30:00+05:30,25852.3,25680,3,516.9,TARGET-HIT
NIFTY 50,SHORT,2026-02-16T09:40:00+05:30,2026-02-16T10:05:00+05:30,25460.8,25514.7,3,-161.7,SL-HIT
NIFTY 50,LONG,2026-02-26T09:30:00+05:30,2026-02-26T11:45:00+05:30,25518.8,25464.764268537404747,3,-162.107194387785759,SL-HIT
NIFTY 50,LONG,2026-02-27T09:35:00+05:30,2026-02-27T10:00:00+05:30,25383.4,25333.8,3,-148.8,SL-HIT
NIFTY 50,LONG,2026-03-30T11:10:00+05:30,2026-03-30T13:30:00+05:30,22478.6,22475.1674073173997255,4,-13.730370730401098,SL-HIT
NIFTY 50,SHORT,2026-04-01T10:05:00+05:30,2026-04-01T15:05:00+05:30,22906.8,22676.75,4,920.2,EOD-SQUAREOFF
NIFTY 50,LONG,2026-04-02T13:25:00+05:30,2026-04-02T14:45:00+05:30,22488.3,22585.9395333105465721,4,390.5581332421862884,SL-HIT
NIFTY 50,SHORT,2026-04-09T09:45:00+05:30,2026-04-09T11:55:00+05:30,23817.3,23888.9,4,-286.4,SL-HIT
NIFTY 50,LONG,2026-04-13T13:50:00+05:30,2026-04-13T14:15:00+05:30,23881.8,23843.1,4,-154.8,SL-HIT
NIFTY 50,LONG,2026-05-04T12:15:00+05:30,2026-05-04T12:50:00+05:30,24144.1,24097.5,4,-186.4,SL-HIT
NIFTY 50,SHORT,2026-05-22T11:50:00+05:30,2026-05-22T12:55:00+05:30,23804.6,23823.1892420098665575,4,-74.35696803946623,SL-HIT
NIFTY 50,SHORT,2026-05-29T12:10:00+05:30,2026-05-29T14:35:00+05:30,23835.7,23793.1678170529866251,4,170.1287317880534996,SL-HIT
NIFTY 50,LONG,2026-06-02T09:30:00+05:30,2026-06-02T13:15:00+05:30,23283.7,23495.7,4,848,TARGET-HIT
NIFTY 50,LONG,2026-06-03T12:35:00+05:30,2026-06-03T12:55:00+05:30,23324.5,23275.8,4,-194.8,SL-HIT
NIFTY 50,LONG,2026-06-08T09:30:00+05:30,2026-06-08T15:05:00+05:30,23184.4,23122.7534659042460204,4,-246.5861363830159184,SL-HIT
NIFTY 50,LONG,2026-06-09T10:05:00+05:30,2026-06-09T10:55:00+05:30,23171.1,23130,4,-164.4,SL-HIT
NIFTY 50,SHORT,2026-06-11T12:35:00+05:30,2026-06-11T15:00:00+05:30,23297.7,23165.2,4,530,TARGET-HIT
NIFTY 50,SHORT,2026-06-18T09:30:00+05:30,2026-06-18T09:45:00+05:30,24085.1,24120.2,4,-140.4,SL-HIT
NIFTY 50,LONG,2026-06-22T09:50:00+05:30,2026-06-22T15:05:00+05:30,24127.3,24117.2,4,-40.4,EOD-SQUAREOFF
NIFTY 50,LONG,2026-06-25T09:50:00+05:30,2026-06-25T12:35:00+05:30,24172.3,24188.9328231247029501,4,66.5312924988118004,SL-HIT
NIFTY 50,SHORT,2026-07-17T09:55:00+05:30,2026-07-17T10:20:00+05:30,24228.9,24263.3,4,-137.6,SL-HIT
NIFTY 50,SHORT,2026-07-20T13:30:00+05:30,2026-07-20T14:10:00+05:30,24236.5,24265.6,4,-116.4,SL-HIT
NIFTY 50,LONG,2026-08-17T10:25:00+05:30,2026-08-17T10:45:00+05:30,24260.5,24235.8,4,-98.8,SL-HIT
NIFTY 50,SHORT,2026-08-18T09:30:00+05:30,2026-08-18T15:05:00+05:30,24232.7,24203.2,4,118,EOD-SQUAREOFF
